title,image,year,price,author,rating,publisher,length,ISBN,city/country
Before the Coffee Gets Cold,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529029581.jpg,2019,13.16,Toshikazu Kawaguchi,3.72,Pan Macmillan,224,9781529029581,"London, United Kingdom"
Rich Dad Poor Dad,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6126/9781612680194.jpg,2018,13.81,Robert T. Kiyosaki,4.1,Plata Publishing,336,9781612680194,"Scottsdale, United States"
Piranesi,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526622433.jpg,2021,15.89,Susanna Clarke,4.29,Bloomsbury Publishing PLC,272,9781526622433,"London, United Kingdom"
Berättelser från häxans stuga,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/1798/9789179857738.jpg,2021,29.01,Hanna Karlzon,,Tukan Förlag,,9789179857738,
Punk 57,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5394/9781539427766.jpg,2016,24.07,Penelope Douglas,4.05,Createspace Independent Publishing Platform,342,9781539427766,
12 Rules for Life,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1419/9780141988511.jpg,2019,19.57,Jordan B. Peterson,3.92,Penguin Books Ltd,448,9780141988511,"London, United Kingdom"
The Secret History,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1401/9780140167771.jpg,1995,18.78,Donna Tartt,4.11,Penguin Books Ltd,640,9780140167771,"London, United Kingdom"
Dear Zoo,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4169/9781416947370.jpg,2007,11.48,Rod Campbell,4.28,Simon & Schuster,18,9781416947370,"New York, NY, United States"
"Jujutsu Kaisen, Vol. 10",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974720750.jpg,2021,14.58,Gege Akutami,4.57,"Viz Media, Subs. of Shogakukan Inc",192,9781974720750,"San Francisco, United States"
The Silent Patient,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4091/9781409181637.jpg,2020,14.03,Alex Michaelides,4.12,Orion Publishing Co,352,9781409181637,"London, United Kingdom"
